Kind,Name,AvgCyclomatic,SumCyclomatic,MaxEssential,MaxNesting
File,"AreaCapacitacao.java",1,8,1,0
File,"AreaCapacitacaoControllerImpl.java",1,8,1,1
File,"AreaCapacitacaoRepository.java",0,0,0,0
File,"AreaCapacitacaoService.java",0,0,0,0
File,"AreaCapacitacaoServiceImpl.java",1,7,1,0
File,"AreaPerfil.java",1,8,1,0
File,"AreaPerfilControllerImpl.java",1,9,1,1
File,"AreaPerfilRepository.java",0,0,0,0
File,"AreaPerfilService.java",0,0,0,0
File,"AreaPerfilServiceImpl.java",1,7,1,0
File,"ArquivoController.java",2,2,1,1
File,"ArquivoService.java",0,0,0,0
File,"ArquivoServiceImpl.java",2,5,1,1
File,"AuthControllerImpl.java",1,9,1,1
File,"AuthenticationRequest.java",1,7,1,0
File,"Avaliacao.java",1,30,1,2
File,"AvaliacaoComportamentalService.java",1,6,1,0
File,"AvaliacaoController.java",0,0,0,0
File,"AvaliacaoControllerImpl.java",2,40,1,3
File,"AvaliacaoRepository.java",0,0,0,0
File,"AvaliacaoService.java",2,63,4,3
File,"AvalicaoComportamentalImpl.java",0,0,0,0
File,"AvalicaoComportamentalRepository.java",0,0,0,0
File,"CategoriaComportamento.java",1,2,1,0
File,"Comissao.java",1,2,1,0
File,"ComissaoRepository.java",0,0,0,0
File,"ComissaoService.java",0,0,0,0
File,"ComissaoServiceImpl.java",1,1,1,0
File,"Competencia.java",1,19,3,1
File,"CompetenciaAutoAvaliacaoDTO.java",1,7,1,0
File,"CompetenciaControllerImpl.java",1,5,1,1
File,"CompetenciaDTO.java",1,5,1,0
File,"CompetenciaRepository.java",0,0,0,0
File,"CompetenciaService.java",0,0,0,0
File,"CompetenciaServiceImpl.java",1,5,1,1
File,"Comportamento.java",1,26,1,0
File,"ComportamentoController.java",0,0,0,0
File,"ComportamentoControllerImpl.java",2,61,1,2
File,"ComportamentoRepository.java",0,0,0,0
File,"ComportamentoSearch.java",1,12,1,0
File,"ComportamentoService.java",0,0,0,0
File,"ComportamentoServiceImpl.java",1,10,1,0
File,"ComportamentoSpecification.java",6,13,1,2
File,"CorsFilter.java",3,3,1,1
File,"CursoCapacitacao.java",1,18,3,1
File,"CursoCapacitacaoController.java",0,0,0,0
File,"CursoCapacitacaoControllerImpl.java",2,16,5,4
File,"CursoCapacitacaoRepository.java",0,0,0,0
File,"CursoCapacitacaoService.java",0,0,0,0
File,"CursoCapacitacaoServiceImpl.java",1,5,1,0
File,"CustomResponses.java",1,6,1,0
File,"DadosPessoais.java",1,14,1,0
File,"DadosProfissionais.java",1,16,1,0
File,"DesempenhoController.java",0,0,0,0
File,"DesempenhoControllerImpl.java",7,21,1,5
File,"Diagnostico.java",1,26,1,0
File,"DiagnosticoController.java",0,0,0,0
File,"DiagnosticoControllerImpl.java",1,17,1,1
File,"DiagnosticoRepository.java",0,0,0,0
File,"DiagnosticoService.java",0,0,0,0
File,"DiagnosticoServiceImpl.java",1,22,3,3
File,"Dificuldade.java",1,7,1,0
File,"EscalaAvaliacao.java",1,8,1,0
File,"Escolaridade.java",1,5,1,0
File,"Etapa.java",1,2,1,0
File,"EtapaResponsabilidade.java",1,2,1,0
File,"ExceptionHandlingController.java",1,7,1,0
File,"ExceptionResponse.java",1,14,1,0
File,"ExperienciaProfissional.java",1,18,1,0
File,"ExperienciaProfissionalControllerImpl.java",2,18,5,4
File,"ExperienciaProfissionalRepository.java",0,0,0,0
File,"ExperienciaProfissionalService.java",0,0,0,0
File,"ExperienciaProfissionalServiceImpl.java",1,5,1,0
File,"FileUploadException.java",1,1,1,0
File,"FormacaoAcademicaController.java",0,0,0,0
File,"GestaoCompetenciaApplication.java",1,2,1,0
File,"GestaoCompetenciaException.java",1,1,1,0
File,"IPermissaoNormalizacao.java",0,0,0,0
File,"Idioma.java",1,10,3,1
File,"IdiomaControllerImpl.java",1,11,1,2
File,"IdiomaRepository.java",0,0,0,0
File,"IdiomaService.java",0,0,0,0
File,"IdiomaServiceImpl.java",1,5,1,0
File,"Impacto.java",1,6,1,0
File,"InvalidJwtAuthenticationException.java",1,1,1,0
File,"ItemAvaliacao.java",1,13,1,0
File,"ItemAvaliacaoController.java",0,0,0,0
File,"ItemAvaliacaoControllerImpl.java",2,12,1,1
File,"ItemAvaliacaoRepository.java",0,0,0,0
File,"ItemAvaliacaoSearch.java",1,14,1,0
File,"ItemAvaliacaoService.java",0,0,0,0
File,"ItemAvaliacaoServiceImpl.java",1,7,1,0
File,"ItemAvaliacaoSpecification.java",3,6,1,1
File,"ItemPreferencia.java",1,11,3,1
File,"ItemPreferenciaControllerImpl.java",1,7,1,1
File,"ItemPreferenciaRepository.java",0,0,0,0
File,"ItemPreferenciaService.java",0,0,0,0
File,"ItemPreferenciaServiceImpl.java",1,5,1,0
File,"JwtConfigurer.java",1,2,1,0
File,"JwtTokenFilter.java",2,5,1,3
File,"JwtTokenProvider.java",1,9,1,1
File,"Lotacao.java",1,2,1,0
File,"Mapeamento.java",1,45,3,1
File,"MapeamentoControllerImpl.java",1,19,1,1
File,"MapeamentoRepository.java",0,0,0,0
File,"MapeamentoService.java",0,0,0,0
File,"MapeamentoServiceImpl.java",1,32,3,3
File,"MinioConfig.java",2,16,1,2
File,"MinioPorperties.java",1,10,1,0
File,"Monitoramento.java",1,11,1,0
File,"NivelEscolaridade.java",1,18,1,0
File,"NivelEscolaridadeController.java",2,16,5,4
File,"NivelEscolaridadeRepository.java",0,0,0,0
File,"NivelEscolaridadeService.java",0,0,0,0
File,"NivelEscolaridadeServiceImpl.java",1,8,1,2
File,"NivelIdioma.java",1,6,1,0
File,"NotAllowedException.java",1,1,1,0
File,"NotaDTO.java",1,6,1,0
File,"Perfil.java",1,32,3,1
File,"PerfilControllerImpl.java",1,12,1,2
File,"PerfilIdioma.java",1,14,1,0
File,"PerfilIdiomaControllerImpl.java",2,13,5,4
File,"PerfilIdiomaKey.java",1,4,1,0
File,"PerfilIdiomaRepository.java",0,0,0,0
File,"PerfilIdiomaService.java",0,0,0,0
File,"PerfilIdiomaServiceImpl.java",1,7,1,0
File,"PerfilPreferencia.java",1,9,1,0
File,"PerfilPreferenciaControllerImpl.java",3,13,5,4
File,"PerfilPreferenciaKey.java",1,4,1,0
File,"PerfilPreferenciaRepository.java",0,0,0,0
File,"PerfilPreferenciaService.java",0,0,0,0
File,"PerfilPreferenciaServiceImpl.java",1,7,1,0
File,"PerfilRepository.java",0,0,0,0
File,"PerfilService.java",0,0,0,0
File,"PerfilServiceImpl.java",1,9,1,1
File,"Preferencia.java",1,4,1,0
File,"PreferenciaControllerImpl.java",1,6,1,1
File,"PreferenciaRepository.java",0,0,0,0
File,"PreferenciaService.java",0,0,0,0
File,"PreferenciaServiceImpl.java",1,4,1,0
File,"ResourceAlreadyExistsException.java",1,1,1,0
File,"ResourceNotFoundException.java",1,4,1,0
File,"Responsabilidade.java",1,80,4,2
File,"ResponsabilidadeControllerImpl.java",3,57,3,4
File,"ResponsabilidadeFilter.java",1,6,1,0
File,"ResponsabilidadeRepository.java",0,0,0,0
File,"ResponsabilidadeSearch.java",1,8,1,0
File,"ResponsabilidadeService.java",0,0,0,0
File,"ResponsabilidadeServiceImpl.java",1,8,1,0
File,"ResponsabilidadeSpecification.java",5,11,1,2
File,"ServletInitializer.java",1,1,1,0
File,"SituacaoComportamento.java",1,2,1,0
File,"SituacaoResponsabilidade.java",1,2,1,0
File,"StandardError.java",1,9,1,0
File,"StatusExperienciaProfissional.java",1,5,1,0
File,"StatusNivelEscolaridade.java",1,5,1,0
File,"SwaggerConfig.java",1,3,1,0
